CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL
ESHC020-13;História Econômica Geral;4;0;4
NHZ2046-11;História Social da Tecnologia na América Latina;4;0;4
NHH2047-13;Historiografia e História das Ciências;4;0;4
BHQ0001-15;Identidade e Cultura;3;0;4
ESZE063-13;Impacto Ambiental e Social na Cadeia de Produção de Petróleo;4;0;4
NHZ1090-15;Imunologia Aplicada;4;0;5
ESZP042-14;Indicadores de Políticas Públicas;0;4;6
NHZ4059-15;Indústria de Polímeros;4;0;4
MCZB012-13;Inferência Estatística;4;0;4
ESZI001-13;Informação e Sociedade;2;0;3
ESZT005-13;Informática Aplicada ao Planejamento Territorial;1;3;4
ESZI013-13;Informática Industrial;0;4;4
ESZP023-13;Inovação e Desenvolvimento Agroindustrial;4;0;4
ESZP043-14;Inovação nos Serviços Públicos;4;0;4
ESTG010-13;Inovação Tecnológica;2;2;2
ESTE008-13;Instalações Elétricas I;2;2;4
ESZE011-13;Instalações Elétricas II;2;2;4
ESZB020-13;Instalações Hospitalares;2;2;4
ESZC010-13;Instituições e Governança Global;4;0;3
ESZP002-13;Instituições Judiciais e Políticas Públicas;4;0;4
ESTB003-13;Instrumentação Biomédica;3;2;5
ESTB006-13;Instrumentação Biomédica Avançada;3;2;4
ESTO004-13;Instrumentação e Controle;3;1;5
ESZA013-13;Instrumentação e Metrologia Óptica;3;1;4
ESZS003-13;Instrumentação e Sensores em Veículos Aeroespaciais;3;1;4
NHT1086-15;Instrumentação para o Ensino de Ciências e Biologia;0;4;4
ESZE025-13;Integração e Otimização Energética de Processos;2;0;4
MCTAO14-13;Inteligência Artificial;3;1;4
ESZA022-13;Inteligência Artificial em Robótica;3;1;4
ESZS017-13;Interação Fluido-Estrutura;3;0;4
MCZA008-13;Interação Humano-Computador;4;0;4
BCK0104-15;Interações Atômicas e Moleculares;3;0;4
NHZ3021-15;Interações da Radiação com a Matéria;4;0;4
NHZ2048-11;Interposições da Linguagem à Filosofia Contemporânea;4;0;4
BHQ0003-15;Interpretações do Brasil;4;0;4
MCZB013-13;Introdução à Análise Estocástica em Finanças;3;1;4
MCZB014-13;Introdução à Análise Funcional;4;0;4
ESTS003-13;Introdução à Astronáutica;2;0;3
MCZC014-15;Introdução à Bioestatística;3;1;4
ESZB007-13;Introdução à Biofotônica e Óptica Biomédica;3;1;4
ESZB022-13;Introdução à Bioinformática;3;1;4
ESZB005-13;Introdução à Biotecnologia;4;0;4
NHZ3023-15;Introdução à Cosmologia;4;0;4
MCZB015-13;Introdução à Criptografia;4;0;4
ESHC021-13;Introdução à Economia;4;0;4
BHO1101-15;Introdução à Economia;4;0;4
ESZB021-13;Introdução à Engenharia Biomédica;2;0;4
ESZE032-13;Introdução à Engenharia de Biocombustíveis;2;0;4
ESZE054-13;Introdução à Engenharia do Petróleo I;4;0;4
ESZE055-13;Introdução à Engenharia do Petróleo II;4;0;4
ESZE037-13;Introdução à Engenharia Nuclear;4;0;4
MCZB016-13;Introdução à Estatística Bayesiana;3;1;4
MCTC001-15;Introdução à Filosofia da Mente;2;0;2
NHZ3024-15;Introdução à Física de Partículas Elementares;4;0;4
NHZ3083-15;Introdução à Física Estelar;4;0;4
NHZ3025-15;Introdução à Física Médica;3;0;5
ESTB017-13;Introdução à Física Médica;3;1;4
NHZ3026-15;Introdução à Física Nuclear;4;0;4
MCTC014-13;Introdução à Inferência Estatística;3;1;4
NHZ2079-08;Introdução à Lógica;3;0;4
MCZB018-13;Introdução à Modelagem e Processos Estocásticos;3;1;4
MCTC002-15;Introdução à Neurociência;4;0;5
MCTC021-15;Introdução à Neurociência Computacional;2;2;4
BIN0406-15;Introdução à Probabilidade e à Estatística;3;0;4
MCZA032-14;Introdução à Programação de Jogos;2;2;4
ESZP025-13;Introdução à Prospecção Tecnológica;4;0;4
MCZC004-15;Introdução à Psicolinguística e Neurociência da Linguagem;4;0;4
ESZB014-13;Introdução à Robótica;2;2;4
NHZ4061-15;Introdução a Troca de Calor, Massa e Movimentação de Fluidos;4;0;4
ESHP012-13;Introdução ao Direito Administrativo;4;0;4
ESHP013-13;Introdução ao Direito Constitucional;4;0;4
ESHR011-13;Introdução ao Estudo do Direito;4;0;4
ESZI015-13;Introdução ao Processamento de Sinais de Voz, Áudio e Acústicos;3;1;4
ESTA015-13;Introdução aos Processos de Fabricação;3;1;4
ESTG017-13;Introdução aos Processos de Fabricação Metal - Mecânico;4;2;4
MCZB019-13;Introdução aos Processos Pontuais;4;0;4
MCZB020-13;Introdução aos Sistemas Dinâmicos;4;0;4
ESTE007-13;Introdução aos Sistemas Elétricos de Potência;3;1;5
MCZB021-13;Introdução às Curvas Algébricas;4;0;4
ESTO005-13;Introdução às Engenharias;2;0;4
BCN0405-15;Introdução às Equações Diferenciais Ordinárias;4;0;4
BHO0001-15;Introdução às Humanidades e Ciências Sociais;2;0;4
ESHP014-13;Introdução às Políticas Públicas;4;0;4
ESZS014-13;Introdução às Vibrações Não Lineares;4;0;4
ESZI012-13;Jogos Digitais: Aspectos Técnicos e Aplicações;2;2;4
ESZB015-13;Laboratório de Bioinformática;0;4;5
ESZE069-14;Laboratório de Calor e Fluidos;0;2;4
MCZA010-13;Laboratório de Engenharia de Software;0;4;4
NHT3027-15;Laboratório de Física I;0;3;5
NHT3028-15;Laboratório de Física II;0;3;5
NHT3065-15;Laboratório de Física III;0;3;5
ESZB023-13;Laboratório de Física Médica;1;3;4
NHZ3080-15;Laboratório de Física Médica;0;3;5
ESTS006-13;Laboratório de Guiagem, Navegação e Controle;0;4;4
ESZE039-13;Laboratório de Instrumentação Nuclear e Radioproteção;2;2;6
ESZE070-14;Laboratório de Máquinas Térmicas e Hidráulicas;0;2;4
NHZ3031-15;Laboratório de Propriedades Físicas de Materiais;2;2;4
MCZA011-13;Laboratório de Redes;0;4;4
MCZA012-13;Laboratório de Sistemas Operacionais;0;4;4
NHZ3081-15;Lasers e Óptica Moderna;3;1;4
ESTB010-13;Legislação Relacionada à Saúde;2;0;4
NHI5015-15;LIBRAS;4;0;2
NHT4023-15;Ligações Químicas;4;0;6
MCTA015-13;Linguagens Formais e Autômata;3;1;4
NHT4073-15;Livros Didáticos no Ensino de Química;4;0;4
NHI2049-13;Lógica Básica;4;0;4
NHZ2050-11;Lógica e os Fundamentos da Matemática;4;0;4
ESZG003-13;Lógica em Sistemas de Gestão;0;2;4
ESZA017-13;Lógica Programável;3;1;4
MCZA013-13;Lógicas Não Clássicas;4;0;4
ESZU013-13;Logística e Meio Ambiente;2;0;2
ESHC022-13;Macroeconomia I;4;0;4
ESHC023-13;Macroeconomia II;3;0;4
ESHC024-13;Macroeconomia III;4;0;3
ESZG029-13;Manufatura Integrada por Computador;0;4;6
ESZS025-13;Máquinas de Fluxo;4;0;4
ESTA009-13;Máquinas Elétricas;3;2;4
ESZE022-13;Máquinas Térmicas;3;1;4
MCTB019-13;Matemática Discreta;4;0;4
ESTM007-13;Materiais Cerâmicos;3;1;4
ESTM008-13;Materiais Compósitos;3;1;4
ESTS009-13;Materiais Compósitos e Aplicações Estruturais;4;0;4
ESTO006-13;Materiais e Suas Propriedades;3;1;5
ESTM005-13;Materiais Metálicos;3;1;4
ESZM030-13;Materiais Nanoestruturados;4;0;4
ESZM027-13;Materiais para Energia e Ambiente;4;0;4
ESZM028-13;Materiais para Tecnologia da Informação;4;0;4
ESTM006-13;Materiais Poliméricos;3;1;4
ESZM021-13;Matérias Primas Cerâmicas;4;0;4
NHT3068-15;Mecânica Clássica I;4;0;4
NHT3069-15;Mecânica Clássica II;4;0;4
NHZ3075-15;Mecânica Clássica III;4;0;4
ESTS014-13;Mecânica dos Fluidos Avançada;4;2;4
ESTO007-13;Mecânica dos Fluidos I;3;1;5
ESTE011-13;Mecânica dos Fluidos II;3;1;5
ESTO008-13;Mecânica dos Sólidos I;3;1;5
ESZS018-13;Mecânica dos Sólidos II;4;0;5
NHT3036-15;Mecânica Estatística;6;0;6
NHT3037-13;Mecânica Geral;4;0;4
NHT3072-15;Mecânica Quântica I;6;0;10
NHT3073-15;Mecânica Quântica II;4;0;4
NHZ3077-15;Mecânica Quântica III;4;0;4
NHT4024-15;Mecanismos de Reações Orgânicas;4;0;6
NHZ4062-15;Meio Ambiente e Indústria;2;0;2
ESZP044-14;Meio Ambiente e Políticas Públicas;4;0;4
MCZC013-15;Memória e Aprendizagem;4;0;4
ESZP026-13;Memória, Identidades Sociais e Cidadania nas Sociedades Complexas Contemporâneas;4;0;4
ESZT006-13;Mercado Imobiliário;4;0;4
ESZM023-13;Metalurgia Física;4;0;4
MCZB022-13;Metateoremas da Lógica Clássica;4;0;4
ESHC900-13;Metodologia;4;0;3
ESHR900-13;Metodologia de pesquisa em RI;4;0;4
ESTS011-13;Métodos Computacionais para Análise Estrutural;3;1;4
ESZM010-13;Métodos Computacionais para o Estudo de Biomoléculas;3;1;4
NHT4025-15;Métodos de Análise em Química Orgânica;4;0;4
ESTB016-13;Métodos de Elementos Finitos Aplicados a Sistemas Biomédicos;0;3;4
NHZ3041-15;Métodos de Formação de Imagem e de Inspeção Nuclear;2;2;5
MCZA014-13;Métodos de Otimização;4;0;4
ESHP024-14;Métodos de Pesquisa em Políticas Públicas;4;0;4
ESHT010-15;Métodos de Planejamento;3;1;4
ESZU014-13;Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental;1;1;4
ESZP027-13;Métodos e Técnicas Aplicadas às Políticas Públicas Ambientais;2;2;4
ESZP028-13;Métodos e Técnicas Aplicadas às Políticas Públicas Urbanas;2;2;4
ESHT011-13;Métodos e Técnicas de Análise de Informação para o Planejamento;3;1;4
ESTO009-13;Métodos Experimentais em Engenharia;0;3;2
ESTB001-13;Métodos Matemáticos Aplicados a Sistemas Biomédicos;6;0;4
MCZB017-13;Métodos Numéricos de EDP’s;2;2;4
MCZB023-13;Métodos Numéricos em EDO's;2;2;4
ESHP016-13;Métodos Quantitativos para Ciências Sociais;2;2;4
ESZU015-13;Métodos Quantitativos para Planejamento Estratégico;1;1;4
MCZB024-13;Métodos Variacionais;4;0;4
ESZG030-13;Metrologia;2;2;4
NHT1056-15;Microbiologia;4;2;4
ESTU010-13;Microbiologia Ambiental;3;1;4
ESHC025-13;Microeconomia I;4;0;4
ESHC026-13;Microeconomia II;4;0;3
NHZ3042-15;Microscopia Eletrônica;2;2;4
MCZA015-13;Mineração de Dados;3;1;4
ESHT012-13;Mobilização Produtiva dos Territórios e Desenvolvimento Local;4;0;4
ESTB008-13;Modelagem e Simulação de Sistemas Biomédicos;2;2;4
NHZ1079-15;Modelagem Molecular de Sistemas Biológicos;3;1;4
ESZG020-13;Modelos de Comunicação nas Organizações;2;0;4
ESZG032-13;Modelos e Ferramentas de Gestão Ambiental;3;0;3
ESZP004-13;Modelos e Práticas Colaborativas em CT&I;4;0;4
ESZC012-13;Modelos Econômicos e Análise das Dinâmicas Territoriais;4;0;4
MCZB025-13;Módulos;4;0;4
ESHC902-13;Monografia I;0;8;0
ESHC903-13;Monografia II;0;9;0
NHT1066-15;Morfofisiologia Animal Comparada;4;0;4
NHT1058-15;Morfofisiologia Humana I;4;2;4
NHT1059-15;Morfofisiologia Humana II;4;2;4
NHT1060-15;Morfofisiologia Humana III;4;2;4
ESZE018-13;Motores de Combustão Interna;2;1;4
ESZP029-13;Movimentos Sindicais, Sociais e Culturais;4;0;4
ESZC013-13;Mudança Tecnológica e Dinâmica Capitalista na Economia Contemporânea;4;0;4
ESZM002-13;Nanociência e Nanotecnologia;2;0;2
ESZM031-13;Nanocompósitos;4;0;4
NHZ3060-09;Nascimento e Desenvolvimento da Ciência Moderna;4;0;4
BCM0504-15;Natureza da Informação;3;0;4
ESZS008-13;Navegação Inercial e GPS;3;1;4
ESZG021-13;Negociação e Solução de Conflitos Organizacionais;4;0;2
ESZR009-13;Negociações internacionais, propriedade intelectual e transferência tecnológica;4;0;4
MCTC023-15;Neuroanatomia;3;1;4
MCZC008-13;Neuroarte;2;0;2
MCZC015-15;Neuroarte Prática e Estética Experimental;1;3;2
MCTC019-15;Neurobiologia Molecular e Celular;4;2;4
MCZC016-15;Neurociência da Cognição Musical;2;0;2
MCTC024-15;Neuroetologia;4;0;4
ESZB012-13;Neuromecânica do Movimento Humano;2;2;4
MCTC018-15;Neuropsicofarmacologia;3;1;4
NHZ3043-15;Noções de Astronomia e Cosmologia;4;0;4
ESZE003-13;Normas de Segurança para Sistemas Energéticos;2;0;4
ESHP025-14;Observatório de Políticas Públicas;0;4;4
ESHT014-13;Oficina de Planejamento de Áreas Periurbanas, Interioranas e Rurais;0;4;4
ESHT016-13;Oficina de Planejamento e Governança Metropolitana;0;4;4
ESHT013-13;Oficina de Planejamento Macro e Meso Regional;0;4;4
ESHT015-13;Oficina de Planejamento Urbano;0;4;4
ESZT007-13;Oficina de Projeto Urbano;0;4;4
ESTI009-13;Ondas Eletromagnéticas Aplicadas;3;1;4
ESTE009-13;Operação de Sistemas Elétricos de Potência;3;1;4
ESZE035-13;Operações e Equipamentos Industriais I;3;1;4
ESZE036-13;Operações e Equipamentos Industriais II;3;1;4
NHZ4028-15;Operações Unitárias I;4;0;4
NHZ4029-15;Operações Unitárias II;4;0;4
NHT3044-15;Óptica;3;1;4
ESZA016-13;Optoeletrônica;3;1;4
ESTG012-13;Organização do Trabalho;3;1;5
ESZS010-13;Otimização em Projetos de Estruturas;4;0;4
MCTA016-13;Paradigmas de Programação;2;2;4
NHZ1037-15;Parasitologia;3;0;3
ESHP026-14;Participação, Movimentos Sociais e Políticas Públicas;4;0;4
MCZC005-15;Patologias do Sistema Nervoso Central;4;0;4
ESZT008-13;Patrimônio Cultural e Paisagem;4;0;4
BHP0202-15;Pensamento Crítico;4;0;4
ESHR023-14;Pensamento crítico das Relações Internacionais;4;0;4
BHO0002-15;Pensamento Econômico;3;0;4
NHZ2051-11;Pensamento Hegeliano e seus Desdobramentos Contemporâneos;4;0;4
NHZ2052-11;Pensamento Kantiano e seus Desdobramentos Contemporâneos;4;0;4
ESZP006-13;Pensamento Latino-Americano e Políticas de CT&I;4;0;4
NHZ2053-11;Pensamento Marxista e seus Desdobramentos Contemporâneos;4;0;4
NHZ2054-11;Pensamento Nietzcheano e seus Desdobramentos Contemporâneos;4;0;4
MCZB026-13;Percolação;4;0;4
ESZP030-13;Perspectiva de Análise do Estado e das Políticas Públicas;4;0;4
ESZP040-14;Perspectivas Analíticas Sobre a Burocracia;4;0;4
NHZ2055-11;Perspectivas Críticas da Filosofia Contemporânea;4;0;4
MCTC007-15;Pesquisa e Comunicação Científica;2;0;2
NHZ2056-11;Pesquisa em Filosofia;4;0;4
ESTG013-13;Pesquisa Operacional;4;2;9
ESZG006-13;Pesquisa Operacional Aplicada;4;0;5
ESZE064-13;Petrofísica;4;0;4
ESZS013-13;Placas e Cascas;3;0;4
ESZI022-13;Planejamento de Redes de Informação;2;2;4
ESTG014-13;Planejamento e Controle da Produção;4;2;9
ESZG010-13;Planejamento e Controle de Projetos;2;2;4
ESZT009-13;Planejamento e Gestão de Redes Técnicas e Sistemas Territoriais;4;0;4
ESHT017-13;Planejamento e Política Ambiental;4;0;4
ESHT018-13;Planejamento e Política Regional;4;0;4
ESHT019-13;Planejamento e Política Rural;4;0;4
ESZG011-13;Planejamento Estratégico em Gestão de Projetos;2;2;6
ESHP030-14;Planejamento Orçamentário;4;0;4
ESTU011-13;Planejamento Urbano e Metropolitano;3;1;4
NHZ2057-11;Poder e Cultura na Sociedade da Informação;4;0;4
ESHP027-14;Poder Local;4;0;4
NHZ4063-15;Polímeros: Síntese, Caracterização e Processos;4;2;4
ESHR025-14;Política Externa Brasileira Contemporânea;4;0;4
ESZT011-13;Política Habitacional;4;0;4
ESHR012-13;Política Internacional dos EUA e da União Europeia;4;0;4
ESHT020-13;Política Metropolitana;4;0;4
ESHT021-13;Política Urbana;4;0;4
ESZP047-14;Política Urbana;4;0;4
ESZP007-13;Políticas Culturais;4;0;4
ESZP039-14;Políticas de Educação;4;0;4
ESZT010-13;Políticas de Infra-Estrutura;4;0;4
ESZP038-14;Políticas de Saúde;4;0;4
NHI5011-13;Políticas Educacionais;3;0;3
ESZP034-14;Políticas Públicas de Esporte e Lazer;2;0;4
ESZP008-13;Políticas Públicas de Gênero, Etnia e Geração;4;0;4
ESZP009-13;Políticas Públicas de Intervenção Territorial no Brasil;4;0;4
ESHP028-14;Políticas Públicas para A Sociedade da Informação;4;0;4
ESZR016-14;Políticas Públicas Sul-Americanas;4;0;4
ESHP018-14;Políticas Sociais;4;0;4
ESTU012-13;Poluição Atmosférica;3;0;4
NHZ2058-11;Pragmatismo;4;0;4
MCZA038-14;Prática Avançada de Programação A;0;4;4
MCZA039-14;Prática Avançada de Programação B;0;4;4
MCZA040-14;Prática Avançada de Programação C;0;4;4
NHH2059-13;Prática de Ensino de Filosofia I;3;0;4
NHH2060-13;Prática de Ensino de Filosofia II;3;0;4
NHH2061-13;Prática de Ensino de Filosofia III;3;0;4
NHH2062-13;Prática de Ensino de Filosofia IV;3;0;4
NHH2063-13;Prática de Ensino de Filosofia V;3;0;4
NHT5012-15;Práticas de Ciências no Ensino Fundamental;4;0;4
NHT1071-15;Práticas de Ecologia;1;3;4
NHT1083-15;Práticas de Ensino de Biologia I;2;1;4
NHT1084-15;Práticas de Ensino de Biologia II;2;1;4
NHT1085-15;Práticas de Ensino de Biologia III;2;1;4
NHT5013-15;Práticas de Ensino de Ciências e Matemática no Ensino Fundamental;4;0;4
NHT3095-15;Práticas de Ensino de Física I;2;2;4
NHT3090-15;Práticas de Ensino de Física II;2;2;4
NHT3091-15;Práticas de Ensino de Física III;2;2;4
MCTD014-13;Práticas de Ensino de Matemática I;3;0;4
MCTD012-13;Práticas de Ensino de Matemática II;3;0;4
MCTD013-13;Práticas de Ensino de Matemática III;3;0;4
MCTD011-13;Práticas de Ensino de Matemática no Ensino Fundamental;4;0;4
NHT4030-15;Práticas de Ensino de Química I;3;0;4
NHT4071-15;Práticas de Ensino de Química II;0;3;4
NHT4032-15;Práticas de Ensino de Química III;3;0;4
BHS0001-15;Práticas em Ciências e Humanidades;2;2;4
NHT4033-15;Práticas em Química Verde;0;4;4
ESTI004-13;Princípios de Comunicação;3;1;4
ESTB015-13;Princípios de Ética em Serviços de Saúde;2;0;3
ESTB009-13;Princípios de Imagens Médicas;4;0;4
NHT3048-15;Princípios de Mecânica Quântica;4;0;4
MCZB027-13;Princípios de Simulação Matemática;2;2;4
NHT3049-15;Princípios de Termodinâmica;4;0;6
ESTB007-13;Princípios e Aplicações de Biomecânica;2;2;4
ESZM011-13;Princípios Moleculares em Biomateriais;4;0;4
MCTB021-13;Probabilidade;4;0;4
NHH2064-13;Problemas Metafísicos: Perspectivas Contemporâneas;4;0;4
NHH2065-13;Problemas Metafísicos: Perspectivas Modernas;4;0;4
ESZA005-13;Processadores Digitais em Controle e Automação;3;1;4
BCM0505-15;Processamento da Informação;3;2;5
ESZM020-13;Processamento de Cerâmicas;3;1;4
ESZB010-13;Processamento de Imagens Médicas;2;2;5
MCZA041-14;Processamento de Imagens Utilizando GPU;4;0;4
ESZI003-13;Processamento de Informação em Línguas Naturais;3;1;4
MCZA017-13;Processamento de Linguagem Natural;4;0;4
MCTC022-15;Processamento de Sinais Neurais;1;3;4
ESZI009-13;Processamento de Vídeo;3;1;4
MCZA018-13;Processamento Digital de Imagens;3;1;4
ESTI006-13;Processamento Digital de Sinais;4;0;4
ESZB004-13;Processamento e Análise de Falhas em Biomateriais;2;3;4
ESZB003-13;Processamento e Análise de Sinais Biomédicos;2;2;4
ESZM026-13;Processamento e Conformação de Metais;3;1;4
MCZA042-14;Processo e Desenvolvimento de Softwares Educacionais;0;4;4
MCZB028-13;Processos Estocásticos;4;0;4
NHZ4064-15;Processos Industriais Cerâmicos;4;0;4
NHZ4035-15;Processos Industriais Orgânicos e Inorgânicos;4;0;4
ESZE031-13;Processos Termoquímicos de Conversão Energética;2;0;4
MCZA033-14;Programação Avançada para Dispositivos Móveis;0;4;4
ESZI011-13;Programação de Dispositivos Móveis;0;2;4
ESTI001-13;Programação de Software Embarcado;2;2;4
MCTA028-15;Programação Estruturada;2;2;4
MCTA017-13;Programação Matemática;3;1;4
MCTA018-13;Programação Orientada a Objetos;2;2;4
MCZA019-13;Programação para Web;2;2;4
MCZA020-13;Programação Paralela;4;0;4
MCZA034-14;Programação Segura;2;2;4
MCTC009-15;Progressos e Métodos em Neurociência;3;1;4
ESZI020-13;Projeto de Alta Frequência;2;2;4
ESTS013-13;Projeto de Elementos Estruturais de Aeronaves I;3;1;5
ESZS015-13;Projeto de Elementos Estruturais de Aeronaves II;3;1;5
ESZI016-13;Projeto de Filtros Digitais;2;2;4
MCTA019-13;Projeto de Graduação em Computação I;8;0;8
MCTA020-13;Projeto de Graduação em Computação II;8;0;8
MCTA021-13;Projeto de Graduação em Computação III;8;0;8
ESZA014-13;Projeto de Microdispositivos para Instrumentação;3;1;4
MCZA021-13;Projeto de Redes;4;0;4
ESZI023-13;Projeto de Sistemas de Comunicação;0;3;3
ESZI024-13;Projeto de Sistemas Multimídia;0;3;3
BCS0002-15;Projeto Dirigido;0;2;10
ESZB017-13;Projeto e Desenvolvimento de Sistemas para Análise de Dados Médicos;3;2;4
MCZA022-13;Projeto Interdisciplinar;0;4;4
ESZS026-13;Projeto Térmico de Veículos Espaciais;4;0;4
ESZG012-13;Projetos Industriais;2;2;6
ESTI011-13;Propagação e Antenas;3;1;4
ESTM011-13;Propriedades Elétricas, Magnéticas e Ópticas;3;1;4
NHZ3085-15;Propriedades Magnéticas e Eletrônicas;2;2;4
ESTM010-13;Propriedades Mecânicas e Térmicas;3;1;4
ESZS023-13;Propulsão Aeroespacial Não-Convencional;3;0;4
ESZG015-13;Prospecção Tecnológica Aplicada à Engenharia;0;2;2
ESZE013-13;Proteção de Sistemas Elétricos de Potência;3;1;4
MCTC011-15;Psicologia Cognitiva;4;0;4
MCTC020-15;Psicologia Experimental;2;4;4
ESZE007-13;Qualidade da Energia Elétrica;2;2;4
ESZB011-13;Qualidade de Imagens Médicas;2;2;4
ESTG016-13;Qualidade em Sistemas;4;0;5
ESZU016-13;Questões Ambientais Globais;2;0;4
NHZ5014-15;Questões Atuais no Ensino de Ciências;2;0;2
NHT4051-15;Química Analítica Clássica I;3;3;6
NHT4050-15;Química Analítica Clássica II;3;3;6
NHT4058-15;Química Analítica e Bioanalítica Avançada;4;2;8
NHZ4069-15;Química de Alimentos;2;2;2
NHT4052-15;Química de Coordenação;4;4;8
ESZE066-13;Química do Petróleo;4;0;4
NHT4053-15;Química dos Elementos;4;4;6
NHZ4038-15;Química dos Materiais;4;2;4
NHZ4066-15;Química Inorgânica Avançada;4;0;4
ESZM004-13;Química Inorgânica de Materiais;4;2;4
NHT4056-15;Química Inorgânica Experimental;0;4;4
NHT4040-15;Química Orgânica Aplicada;0;4;6
ESZM003-13;Química Orgânica de Materiais e Biomateriais;4;2;4
NHT4041-15;Química Orgânica Experimental;0;4;6
ESZE038-13;Reações Nucleares;3;0;5
ESZM005-13;Reciclagem e Ambiente;4;0;4
NHZ4074-15;Recursos Didáticos para o Ensino de Química;4;0;4
ESZU023-13;Recursos Hídricos;3;0;4
MCZA023-13;Redes Convergentes;4;0;4
ESZI005-13;Redes de Alta Velocidade;3;1;4
ESZA009-13;Redes de Barramento de Campo;2;1;4
MCTA022-13;Redes de Computadores;3;1;4
ESZE014-13;Redes de Distribuição de Energia Elétrica;3;1;4
MCZA024-13;Redes sem Fio;3;1;4
ESZE027-13;Refrigeração e Condicionamento de Ar;3;1;4
ESHR028-14;Regime Internacional dos Direitos Humanos e a Atuação Brasileira;4;0;4
ESZR017-14;Regimes de Negociação Ambiental Internacional e a Atuação Brasileira;4;0;4
ESZR018-14;Regimes de Negociação Comercial Internacional e a Atuação Brasileira;4;0;4
ESZR019-14;Regimes de Negociação Financeira Internacional e a Atuação Brasileira;4;0;4
ESHP019-13;Regimes e Formas De Governo;4;0;4
ESTU013-13;Regulação Ambiental e Urbana;2;0;4
ESZP010-13;Regulação e Agências Reguladoras no Contexto Brasileiro;4;0;4
ESZE015-13;Regulação e Mercado de Energia Elétrica;2;0;2
ESHT022-13;Regulação Urbanística e Ambiental;2;0;2
ESHR014-13;Relações Internacionais e Globalização;4;0;4
ESTM012-13;Reologia I;2;0;3
ESZM018-13;Reologia II;2;0;3
NHZ1080-15;Reprodução Assistida em Mamíferos;2;2;2
ESZE045-13;Resíduos Nucleares;3;0;3
ESTU014-13;Resíduos Sólidos;3;0;4
ESZA020-13;Robôs Móveis Autônomos;3;1;4
MCZA044-14;Robótica e Sistemas Inteligentes;2;2;4
MCZA045-14;Robótica Educacional;2;2;4
ESZT012-13;Saneamento Ambiental;4;0;4
ESTU015-13;Saúde Ambiental;2;0;3
MCTA023-13;Segurança de Dados;3;1;4
ESZE044-13;Segurança de Instalações Nucleares;3;0;4
ESZI008-13;Segurança de Redes;3;1;4
ESZT013-13;Segurança dos Territórios;4;0;4
MCZA025-13;Segurança em Redes;2;2;4
ESHR015-13;Segurança Internacional in perspectiva histórica e desafios contemporâneos;4;0;4
ESTM013-13;Seleção de Materiais;4;0;4
MCZA046-14;Semântica de Linguagem de Programação;4;0;4
NHZ1042-15;Seminários em Biologia I;1;0;2
NHZ1043-15;Seminários em Biologia II;1;0;2
ESZM001-13;Seminários em Materiais Avançados;2;0;2
NHZ4042-09;Seminários em Química I;2;0;2
NHZ4043-15;Seminários em Química II;2;0;2
MCZC012-15;Sensação e Percepção;4;0;4
ESTA010-13;Sensores e Transdutores;3;1;4
ESZU017-13;Sensoriamento Remoto;1;3;4
MCTB022-13;Sequências e Séries;4;0;4
ESZA010-13;Servo-Sistema para Robôs e Acionamento para Sistemas Mecatrônicos;3;1;4
ESZM025-13;Siderurgia e Engenharia dos Aços;4;0;4
ESZG007-13;Simulação de Modelos de Gestão;2;2;4
ESZI010-13;Simulação de Sistemas de Comunicação;2;2;4
ESZS005-13;Simulação de Vôo e Ambientes Virtuais;3;0;4
ESZM017-13;Simulação e Processamento de Polímeros;3;1;4
ESTI005-13;Sinais Aleatórios;4;0;4
ESZM016-13;Síntese de Polímeros;3;1;4
MCZA026-13;Sistema de Gerenciamento de Banco de Dados;2;2;4
ESHR016-13;Sistema Financeiro Internacional: de Bretton Woods ao non-sistema;4;0;4
ESHR017-13;Sistema ONU e os desafios do multilateralismo;4;0;4
ESTA014-13;Sistemas CAD/CAM;3;1;4
ESTA003-13;Sistemas de Controle I;3;2;4
ESTA008-13;Sistemas de Controle II;3;2;4
ESZA001-13;Sistemas de Controle III;3;2;4
ESTU017-13;Sistemas de Esgotos e Drenagem Urbana;2;2;5
MCZA027-13;Sistemas de Informação;4;0;4
ESZI019-13;Sistemas de Micro-ondas;3;1;4
ESZE008-13;Sistemas de Potência I;2;2;4
ESZE009-13;Sistemas de Potência II;2;2;4
ESTS017-13;Sistemas de Propulsão I;3;1;5
ESZS021-13;Sistemas de Propulsão II;3;1;5
ESTU018-13;Sistemas de Tratamento de Águas e Efluentes;2;2;4
MCTA024-13;Sistemas Digitais;2;2;4
MCTA025-13;Sistemas Distribuídos;3;1;4
ESTG020-13;Sistemas e Processos de Produção;2;2;4
ESZE024-13;Sistemas Fluidomecânicos;4;0;4
ESZE107-15;Sistemas Fotovoltaicos Isolados;4;0;4
ESZI014-13;Sistemas Inteligentes;3;1;4
ESTI013-13;Sistemas Microprocessados;2;2;4
MCZA028-13;Sistemas Multiagentes;3;1;4
MCZA029-13;Sistemas Multimídia;2;2;4
MCZA047-14;Sistemas Multi-Robôs Sociais;2;2;4
MCTA026-13;Sistemas Operacionais;3;1;4
ESTE014-13;Sistemas Térmicos;2;2;4
